SBD,Toán,Văn,Sử,Địa,Lí,Sinh,Anh,GDCD,Hóa
2000001,7.4,7.25,,,7.75,5.5,9.8,,7.25,
2000056,7.2,5.75,,,4.5,5.25,8.6,,7.5,
2000111,7.6,6,7,7.25,,,7.8,6.5,,
2000166,7.8,7.5,,,6.75,4.25,8.4,,6,
2000276,7.6,7.5,8.25,6.5,,,9,7.5,,
2000221,5.8,8,5.75,5.75,,,5.6,8.25,,
2000002,8.4,7.5,,,7.5,4.5,9.4,,6,
2000331,6.8,4.25,,,5.5,7,6.8,,6.5,
2000386,7.8,5.5,,,7.25,4,5.6,,7.5,
2000057,7.8,7,5.75,6.25,,,8.8,8.75,,
2000112,8.4,6.75,5.75,6.75,,,9,7.25,,
2000496,7.2,6.75,8,7.5,,,8.2,7,,
2000441,7.6,7.25,7.75,7.25,,,8.8,8.5,,
2000167,7.8,7,,,6.75,3,7.4,,7,
2000606,7.8,7.25,,,6.75,5,6.2,,7.5,
2000551,7.4,4.25,8.25,6.5,,,8.8,7,,
2000277,8.4,5.25,,,5.25,5,8.4,,6.25,
2000003,8.4,6.5,,,6.5,4.5,4.2,,7,
2000222,6.6,7,3,6.25,,,8,7,,
2000332,7.8,7.5,8,8.75,,,9.2,8.5,,
2000661,7.8,4,,,7.75,3.75,5.2,,6.5,
2000387,6.8,6.75,6,5.75,,,6.8,6.75,,
2000716,8.4,7.25,,,8,7.25,9.2,,7.75,
2000113,7.6,6.25,,,6.5,2.75,9.2,,4.75,
2000058,7.4,5.75,,,4.5,3.75,9,,6.75,
2000826,7.8,6.25,,,3.5,8,8.8,,7.25,
2000497,7.8,7,,,6,3.75,9,,7.25,
2000881,8.6,7,8.25,6.5,,,8.8,8.25,,
2000442,8.4,6,,,8.25,5,9.4,,7.25,
2000771,7.4,6,,,3,7.75,6.2,,8.75,
2000991,7,6.25,6.5,7.25,,,5.6,8.75,,
2000168,8.6,6,,,8.25,5.75,8.8,,9,
2000607,8,7.25,8.5,8.25,,,9,9.25,,
2001046,8.6,7.75,,,7.5,7,9.2,,8.5,
2000552,8.4,7.75,7.25,7.25,,,9.6,8,,
2000278,9.4,5.75,,,7,8.75,6,,9.75,
2000223,8.6,6.5,,,7.5,4,6.4,,6.75,
